,Date,sev_netIntInc,sev_nonIntInc,sev_nonIntExp,sev_addNonIntInc,sev_addNonIntExp,sup_netIntInc,sup_nonIntInc,sup_nonIntExp,sup_addNonIntInc,sup_addNonIntExp,severe_ppnr,super_ppnr
39,2010 Q2,18386000000.0,18845000000.0,24806000000.0,9338000000.0,10417000000.0,18386000000,18845000000,24806000000,9338000000,10417000000,11346000000,11346000000
40,2010 Q3,27406000000.0,26717000000.0,36555000000.0,14309000000.0,15608000000.0,27406000000,26717000000,36555000000,14309000000,15608000000,16269000000,16269000000
41,2010 Q4,36082000000.0,35734000000.0,49420000000.0,20160000000.0,21907000000.0,36082000000,35734000000,49420000000,20160000000,21907000000,20649000000,20649000000
42,2011 Q1,8654000000.0,8836000000.0,12803000000.0,3847000000.0,4690000000.0,8654000000,8836000000,12803000000,3847000000,4690000000,3844000000,3844000000
43,2011 Q2,17656000000.0,18633000000.0,26928000000.0,9246000000.0,11365000000.0,17656000000,18633000000,26928000000,9246000000,11365000000,7242000000,7242000000
44,2011 Q3,26582000000.0,29065000000.0,39796000000.0,14466000000.0,17138000000.0,26582000000,29065000000,39796000000,14466000000,17138000000,13179000000,13179000000
45,2011 Q4,35844000000.0,36076000000.0,51647000000.0,18723000000.0,22291000000.0,35844000000,36076000000,51647000000,18723000000,22291000000,16705000000,16705000000
46,2012 Q1,9149000000.0,10200000000.0,15662000000.0,6067000000.0,6998000000.0,9149000000,10200000000,15662000000,6067000000,6998000000,2756000000,2756000000
47,2012 Q2,17834000000.0,16754000000.0,27798000000.0,10826000000.0,11418000000.0,17834000000,16754000000,27798000000,10826000000,11418000000,6198000000,6198000000
48,2012 Q3,26230000000.0,26392000000.0,40177000000.0,15845000000.0,15993000000.0,26230000000,26392000000,40177000000,15845000000,15993000000,12297000000,12297000000
49,2012 Q4,34604000000.0,35244000000.0,52936000000.0,20702000000.0,21546000000.0,34604000000,35244000000,52936000000,20702000000,21546000000,16068000000,16068000000
50,2013 Q1,8303000000.0,10241000000.0,12193000000.0,4553000000.0,3768000000.0,8303000000,10241000000,12193000000,4553000000,3768000000,7136000000,7136000000
51,2013 Q2,16472000000.0,21165000000.0,24482000000.0,9590000000.0,8029000000.0,16472000000,21165000000,24482000000,9590000000,8029000000,14716000000,14716000000
52,2013 Q3,24729000000.0,29658000000.0,41033000000.0,14075000000.0,17066000000.0,24729000000,29658000000,41033000000,14075000000,17066000000,10363000000,10363000000
53,2013 Q4,33192000000.0,38081000000.0,50524000000.0,20166000000.0,19423000000.0,33192000000,38081000000,50524000000,20166000000,19423000000,21492000000,21492000000
54,2014 Q1,8305000000.0,8678000000.0,12052000000.0,4319000000.0,4071000000.0,8305000000,8678000000,12052000000,4319000000,4071000000,5179000000,5179000000
55,2014 Q2,16775000000.0,19229000000.0,24638000000.0,9992000000.0,8792000000.0,16775000000,19229000000,24638000000,9992000000,8792000000,12566000000,12566000000
56,2014 Q3,25405000000.0,29303000000.0,38002000000.0,15210000000.0,13814000000.0,25405000000,29303000000,38002000000,15210000000,13814000000,18102000000,18102000000
57,2014 Q4,33973000000.0,37777000000.0,50649000000.0,20237000000.0,19312000000.0,33973000000,37777000000,50649000000,20237000000,19312000000,22026000000,22026000000
58,2015 Q1,8304000000.0,10509000000.0,12453000000.0,4944000000.0,4300000000.0,8304000000,10509000000,12453000000,4944000000,4300000000,7004000000,7004000000
59,2015 Q2,16611000000.0,20506000000.0,24533000000.0,10232000000.0,8502000000.0,16611000000,20506000000,24533000000,10232000000,8502000000,14314000000,14314000000
60,2015 Q3,25136000000.0,29883000000.0,37432000000.0,15077000000.0,13834000000.0,25136000000,29883000000,37432000000,15077000000,13834000000,18830000000,18830000000
61,2015 Q4,33943000000.0,39343000000.0,49358000000.0,21030000000.0,18695000000.0,33943000000,39343000000,49358000000,21030000000,18695000000,26263000000,26263000000
62,2016 Q1,8939000000.0,9732000000.0,11912000000.0,5224000000.0,4058000000.0,8939000000,9732000000,11912000000,5224000000,4058000000,7925000000,7925000000
63,2016 Q2,18134000000.0,20134000000.0,23363000000.0,10690000000.0,7460000000.0,18134000000,20134000000,23363000000,10690000000,7460000000,18135000000,18135000000
64,2016 Q3,27520000000.0,30481000000.0,35963000000.0,15920000000.0,12083000000.0,27520000000,30481000000,35963000000,15920000000,12083000000,25875000000,25875000000
65,2016 Q4,37122000000.0,40073000000.0,47869000000.0,21008000000.0,16595000000.0,37122000000,40073000000,47869000000,21008000000,16595000000,33739000000,33739000000
66,2017 Q1,9918000000.0,10518000000.0,13039000000.0,5353000000.0,4354000000.0,9918000000,10518000000,13039000000,5353000000,4354000000,8396000000,8396000000
67,2017 Q2,19993000000.0,21664000000.0,25864000000.0,11493000000.0,8897000000.0,19993000000,21664000000,25864000000,11493000000,8897000000,18389000000,18389000000
68,2017 Q3,30519000000.0,32135000000.0,38663000000.0,17050000000.0,13402000000.0,30519000000,32135000000,38663000000,17050000000,13402000000,27639000000,27639000000
69,2017 Q4,41203000000.0,41943000000.0,51541000000.0,22793000000.0,18198000000.0,41203000000,41943000000,51541000000,22793000000,18198000000,36200000000,36200000000
70,2018 Q1,10981000000.0,11647000000.0,14056000000.0,5888000000.0,4691000000.0,10981000000,11647000000,14056000000,5888000000,4691000000,9769000000,9769000000
71,2018 Q2,22311000000.0,23802000000.0,28169000000.0,13040000000.0,9708000000.0,22311000000,23802000000,28169000000,13040000000,9708000000,21276000000,21276000000
72,2018 Q3,33905000000.0,34993000000.0,41962000000.0,19280000000.0,14526000000.0,33905000000,34993000000,41962000000,19280000000,14526000000,31690000000,31690000000
