Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Tax Effect of Unusual Items,RY,"-76,830","17,548",-666,"-14,100"
Total Revenue,GS,"46,254,000","47,365,000","59,339,000","44,559,000"
Net Interest Income,GS,"6,351,000","7,678,000","6,470,000","4,751,000"
Interest Income,GS,"68,515,000","29,024,000","12,120,000","13,689,000"
Interest Income from Loans And Lease,GS,"14,905,000","9,059,000","5,319,000","4,883,000"
Interest Income from Loans,GS,"14,905,000","9,059,000","5,319,000","4,883,000"
Interest Income from Securities,GS,"12,316,000","7,286,000","6,305,000","6,837,000"
Interest Income from Deposits,GS,"10,949,000","3,233,000","-24,000","245,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,GS,"16,405,000","4,468,000","-980,000","282,000"
Other Interest Income,GS,"13,940,000","4,978,000","1,500,000","1,442,000"
Interest Expense,GS,"62,164,000","21,346,000","5,650,000","8,938,000"
Interest Expense for Deposit,GS,"17,010,000","5,823,000","1,303,000","2,386,000"
Interest Expense for Short Term Debt,GS,"1,322,000","541,000","527,000","542,000"
Interest Expense for Long Term Debt And Capital Securities,GS,"11,084,000","5,716,000","3,231,000","4,153,000"
Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,GS,"12,705,000","2,808,000",0,"599,000"
Other Interest Expense,GS,"20,043,000","6,458,000","589,000","1,258,000"
Non Interest Income,GS,"39,903,000","39,687,000","52,869,000","39,808,000"
Fees And Commissions,GS,"13,321,000","13,039,000","11,761,000","10,525,000"
Fees & Commission Income,GS,"13,321,000","13,039,000","11,761,000","10,525,000"
Trust Fees by Commissions,GS,"9,532,000","9,005,000","8,171,000","6,986,000"
Other Customer Services,GS,"3,789,000","4,034,000","3,590,000","3,539,000"
Investment Banking Profit,GS,"6,218,000","7,360,000","14,136,000","9,100,000"
Trading Gain Loss,GS,"17,537,000","7,626,000","21,345,000","23,496,000"
Foreign Exchange Trading Gains,GS,"2,827,000","11,662,000","5,627,000","-3,312,000"
Gain Losson Saleof Assets,GS,0,0,0,0
Gain on Sale of Security,GS,0,0,0,0
Other Non Interest Income,GS,-,-,"11,671,000","-1,000"
Credit Losses Provision,GS,"-1,028,000","-2,715,000","-357,000","-3,098,000"
Non Interest Expense,GS,"32,794,000","30,274,000","31,795,000","25,392,000"
Occupancy And Equipment,GS,"1,053,000","1,026,000","981,000","960,000"
Net Occupancy Expense,GS,"1,053,000","1,026,000","981,000","960,000"
Professional Expense And Contract Services Expense,GS,"1,623,000","1,887,000","1,648,000","1,306,000"
Selling General and Administrative,GS,"16,128,000","15,960,000","18,272,000","13,710,000"
General & Administrative Expense,GS,"15,499,000","15,148,000","17,719,000","13,309,000"
Salaries and Wages,GS,"15,499,000","15,148,000","17,719,000","13,309,000"
Other G and A,GS,-,-,-,"5,488,000"
Selling & Marketing Expense,GS,"629,000","812,000","553,000","401,000"
Depreciation Amortization Depletion,GS,"4,856,000","2,455,000","2,015,000","1,902,000"
Depreciation & amortization,GS,"4,856,000","2,455,000","2,015,000","1,902,000"
Other Non Interest Expense,GS,"9,134,000","8,946,000","8,879,000","7,514,000"
Special Income Charges,GS,"-1,693,000","-890,000","-143,000","-3,590,000"
Impairment of Capital Assets,GS,"1,578,000","314,000","143,000","171,000"
Loss on Extinguishment of Debt,GS,-,0,0,"-1,000"
Other Special Charges,GS,"115,000","576,000","534,000","3,420,000"
Pretax Income,GS,"10,739,000","13,486,000","27,044,000","12,479,000"
Tax Provision,GS,"2,223,000","2,225,000","5,409,000","3,020,000"
Net Income Common Stockholders,GS,"7,907,000","10,764,000","21,151,000","8,915,000"
Net Income,GS,"8,516,000","11,261,000","21,635,000","9,459,000"
Net Income Including Non-Controlling Interests,GS,"8,516,000","11,261,000","21,635,000","9,459,000"
Net Income Continuous Operations,GS,"8,516,000","11,261,000","21,635,000","9,459,000"
Preferred Stock Dividends,GS,"609,000","497,000","484,000","544,000"
Diluted NI Available to Com Stockholders,GS,"7,907,000","10,764,000","21,151,000","8,915,000"
Basic EPS,GS,-,30.42,60.25,24.94
Diluted EPS,GS,-,30.06,59.45,24.74
Basic Average Shares,GS,-,"352,100","350,500","356,400"
Diluted Average Shares,GS,-,"358,100","355,800","360,300"
Interest Income after Provision for Loan Loss,GS,"5,323,000","4,963,000","6,113,000","1,653,000"
Net Income from Continuing & Discontinued Operation,GS,"8,516,000","11,261,000","21,635,000","9,459,000"
Normalized Income,GS,"9,858,549","12,004,150","21,749,400","12,180,196"
Total Money Market Investments,GS,"27,354,000","7,701,000","-1,004,000","527,000"
Reconciled Depreciation,GS,"4,856,000","2,455,000","2,015,000","1,902,000"
Net Income from Continuing Operation Net Minority Interest,GS,"8,516,000","11,261,000","21,635,000","9,459,000"
Total Unusual Items Excluding Goodwill,GS,"-1,693,000","-890,000","-143,000","-3,590,000"
Total Unusual Items,GS,"-1,693,000","-890,000","-143,000","-3,590,000"
Tax Rate for Calcs,GS,0,0,0,0
Tax Effect of Unusual Items,GS,"-350,451","-146,850","-28,600","-868,804"
Total Revenue,SCHW,"18,837,000","20,762,000","18,520,000","11,691,000"
Net Interest Income,SCHW,"9,427,000","10,682,000","8,030,000","6,113,000"
Interest Income,SCHW,"16,111,000","12,227,000","8,506,000","6,531,000"
Interest Income from Loans And Lease,SCHW,"1,664,000","1,083,000","620,000","545,000"
Interest Income from Loans,SCHW,"1,664,000","1,083,000","620,000","545,000"
Interest Income from Securities,SCHW,"5,859,000","5,827,000","4,641,000","4,537,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,SCHW,"419,000","471,000","720,000","334,000"
Other Interest Income,SCHW,"8,169,000","4,846,000","2,525,000","1,115,000"
Interest Expense,SCHW,"6,684,000","1,545,000","476,000","418,000"
Interest Expense for Deposit,SCHW,"3,363,000","723,000","54,000","93,000"
Interest Expense for Short Term Debt,SCHW,"375,000","48,000","9,000",0
Interest Expense for Long Term Debt And Capital Securities,SCHW,"2,525,000","604,000","384,000","289,000"
Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,SCHW,"147,000","48,000","24,000","33,000"
Other Interest Expense,SCHW,"274,000","122,000","5,000","3,000"
Non Interest Income,SCHW,"9,410,000","10,080,000","10,490,000","5,578,000"
Fees And Commissions,SCHW,"5,461,000","5,625,000","5,589,000","3,830,000"
Fees & Commission Income,SCHW,"5,461,000","5,625,000","5,589,000","3,830,000"
Service Charge on Depositor Accounts,SCHW,"705,000","1,409,000","1,315,000","355,000"
Trust Fees by Commissions,SCHW,"4,756,000","4,216,000","4,274,000","3,475,000"
Trading Gain Loss,SCHW,"3,230,000","3,673,000","4,152,000","1,416,000"
Gain Losson Saleof Assets,SCHW,0,0,0,0
Gain on Sale of Security,SCHW,0,0,0,0
Other Non Interest Income,SCHW,"719,000","782,000","749,000","332,000"
Non Interest Expense,SCHW,"12,459,000","11,374,000","10,807,000","7,391,000"
Occupancy And Equipment,SCHW,"1,254,000","1,175,000","976,000","703,000"
Professional Expense And Contract Services Expense,SCHW,"1,058,000","1,032,000","994,000","843,000"
Selling General and Administrative,SCHW,"6,712,000","6,355,000","5,935,000","4,280,000"
General & Administrative Expense,SCHW,"6,315,000","5,936,000","5,450,000","3,954,000"
Salaries and Wages,SCHW,"6,315,000","5,936,000","5,450,000","3,954,000"
Other G and A,SCHW,-,-,"862,000","516,000"
Selling & Marketing Expense,SCHW,"397,000","419,000","485,000","326,000"
Depreciation Amortization Depletion,SCHW,"1,338,000","1,248,000","1,164,000","604,000"
Depreciation & amortization,SCHW,"1,338,000","1,248,000","1,164,000","604,000"
Depreciation,SCHW,"804,000","652,000","549,000","414,000"
Amortization,SCHW,"534,000","596,000","615,000","190,000"
Amortization of Intangibles,SCHW,"534,000","596,000","615,000","190,000"
Other Non Interest Expense,SCHW,"2,097,000","1,564,000","1,738,000","961,000"
Pretax Income,SCHW,"6,378,000","9,388,000","7,713,000","4,300,000"
Tax Provision,SCHW,"1,311,000","2,205,000","1,858,000","1,001,000"
Net Income Common Stockholders,SCHW,"4,649,000","6,635,000","5,360,000","3,043,000"
Net Income,SCHW,"5,067,000","7,183,000","5,855,000","3,299,000"
Net Income Including Non-Controlling Interests,SCHW,"5,067,000","7,183,000","5,855,000","3,299,000"
Net Income Continuous Operations,SCHW,"5,067,000","7,183,000","5,855,000","3,299,000"
Preferred Stock Dividends,SCHW,"418,000","548,000","495,000","256,000"
Diluted NI Available to Com Stockholders,SCHW,"4,649,000","6,635,000","5,360,000","3,043,000"
Basic EPS,SCHW,2.55,3.52,2.84,2.13
Diluted EPS,SCHW,2.54,3.50,2.83,2.12
Basic Average Shares,SCHW,"1,824,000","1,885,000","1,887,000","1,429,000"
Diluted Average Shares,SCHW,"1,831,000","1,894,000","1,897,000","1,435,000"
Interest Income after Provision for Loan Loss,SCHW,"9,427,000","10,682,000","8,030,000","6,113,000"
Net Income from Continuing & Discontinued Operation,SCHW,"5,067,000","7,183,000","5,855,000","3,299,000"
Normalized Income,SCHW,"5,067,000","7,183,000","5,855,000","3,299,000"
Total Money Market Investments,SCHW,"419,000","471,000","720,000","334,000"
Reconciled Depreciation,SCHW,"1,338,000","1,248,000","1,164,000","604,000"
Net Income from Continuing Operation Net Minority Interest,SCHW,"5,067,000","7,183,000","5,855,000","3,299,000"
Tax Rate for Calcs,SCHW,0,0,0,0
Tax Effect of Unusual Items,SCHW,0,0,0,0
Total Revenue,MUFG,"6,057,232,000","4,703,324,000","4,554,854,000","2,393,652,000"
Net Interest Income,MUFG,"2,926,209,000","6,865,562,000","1,904,973,000","2,587,440,000"
Interest Income,MUFG,"5,298,940,000","1,659,359,000","2,678,688,000","3,734,280,000"
Interest Income from Loans And Lease,MUFG,"2,829,251,000","1,278,549,000","1,804,685,000","546,968,000"
Interest Income from Loans,MUFG,"2,829,251,000","59,072,000","1,804,685,000",-
Interest Income from Securities,MUFG,"1,452,461,000","1,332,878,000","469,693,000","298,551,000"
Interest Income from Deposits,MUFG,"364,406,000","543,952,000","55,445,000","2,005,463,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,MUFG,"155,449,000",-,"79,677,000","4,003,000"
Other Interest Income,MUFG,"497,373,000","274,244,000","269,188,000",-
Interest Expense,MUFG,"2,372,731,000","1,512,025,000","773,715,000","32,501,000"
Interest Expense for Deposit,MUFG,"1,171,063,000","2,659,836,000","325,523,000","1,732,529,000"
Interest Expense for Short Term Debt,MUFG,"81,349,000","2,088,620,000","11,220,000","1,873,247,000"
Interest Expense for Long Term Debt And Capital Securities,MUFG,"416,680,000",-,"297,501,000","135,414,000"
Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,MUFG,"456,393,000",-,"78,507,000",-
Other Interest Expense,MUFG,"247,246,000","1,729,100,000","60,964,000","356,091,000"
Non Interest Income,MUFG,"3,131,023,000",-,"2,649,881,000",-
Fees And Commissions,MUFG,"1,695,405,000","232,471,000","1,398,206,000",-
Fees & Commission Income,MUFG,"2,024,065,000",0,"1,705,984,000",0
Service Charge on Depositor Accounts,MUFG,-,0,"1,565,535,000",-
Trust Fees by Commissions,MUFG,"140,637,000","1,231,184,000","140,449,000","852,568,000"
Credit Card,MUFG,-,"-331,435,000","199,625,000","3,662,333,000"
Other Customer Services,MUFG,"1,883,428,000",-,"1,565,535,000",-
Fees & Commission Expense,MUFG,"328,660,000",-,"307,778,000","2,886,704,000"
Dividend Income,MUFG,-,"2,886,704,000","119,387,000","2,746,840,000"
Trading Gain Loss,MUFG,"373,347,000",0,"350,065,000",-
Foreign Exchange Trading Gains,MUFG,-,"2,886,704,000","99,337,000","2,746,840,000"
Gain Losson Saleof Assets,MUFG,0,-,0,-
Gain on Sale of Security,MUFG,0,-,0,-
Gain on Saleof Loans,MUFG,-,-,"17,926,000",-
Other Non Interest Income,MUFG,"1,062,271,000","775,629,000","901,610,000","529,009,000"
Credit Losses Provision,MUFG,"-674,842,000","441,595,000","-515,530,000","573,111,000"
Non Interest Expense,MUFG,"4,787,491,000","699,509,000","3,307,844,000","64,229,000"
Occupancy And Equipment,MUFG,-,-,"178,107,000","32,495,000"
Net Occupancy Expense,MUFG,-,-,"178,107,000",-
Selling General and Administrative,MUFG,"2,969,325,000","-62,125,000","2,709,549,000","2,546,270,000"
General & Administrative Expense,MUFG,"2,969,325,000","395,294,000","2,709,549,000","283,410,000"
Salaries and Wages,MUFG,"78,111,000","1,130,840,000","1,253,461,000","2,071,237,000"
Insurance & Claims,MUFG,-,"2,150,976,000","90,529,000","1,206,447,000"
Other G and A,MUFG,"2,969,325,000","1,206,447,000","2,709,549,000","-79,740,000"
Depreciation Amortization Depletion,MUFG,-,-,0,-
Depreciation & amortization,MUFG,-,"1,130,840,000",0,149.33
Depreciation,MUFG,-,148.97,"87,305,000",88.05
Amortization,MUFG,-,"12,785,341",0,"12,538,118"
Amortization of Intangibles,MUFG,-,"1,939,709,000",0,"1,712,053,000"
Other Non Interest Expense,MUFG,"1,818,166,000","1,130,840,000","598,295,000","1,587,098,238"
Income from Associates & Other Participating Interests,MUFG,"425,829,000",-,"321,761,000","82,562,000"
Special Income Charges,MUFG,"549,200,000","363,250,000","-11,201,000","2,071,237,000"
Gain on Sale of Business,MUFG,"670,108,000","573,111,000","-8,689,000","-47,779,000"
Restructuring & Mergers Acquisition,MUFG,-,"-47,779,000",0,0
Impairment of Capital Assets,MUFG,"18,167,000","88,972,238","41,240,000","-11,801,413"
Total Revenue,C,"78,486,000","75,305,000","71,887,000","75,494,000"
Net Interest Income,C,"54,900,000","48,668,000","42,494,000","44,751,000"
Interest Income,C,"133,258,000","74,408,000","50,475,000","58,089,000"
Interest Income from Loans And Lease,C,"57,868,000","41,242,000","35,440,000","40,185,000"
Interest Income from Loans,C,"57,868,000","41,242,000","35,440,000","40,185,000"
Interest Income from Securities,C,"32,758,000","18,632,000","12,753,000","14,114,000"
Interest Income from Deposits,C,"11,238,000","4,515,000","577,000","928,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,C,"26,887,000","7,154,000","1,052,000","2,283,000"
Other Interest Income,C,"4,507,000","2,865,000","653,000","579,000"
Interest Expense,C,"78,358,000","25,740,000","7,981,000","13,338,000"
Interest Expense for Deposit,C,"36,300,000","11,559,000","2,896,000","5,334,000"
Interest Expense for Short Term Debt,C,"7,438,000","2,488,000","121,000","630,000"
Interest Expense for Long Term Debt And Capital Securities,C,"9,754,000","5,801,000","3,470,000","4,669,000"
Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,C,"21,439,000","4,455,000","1,012,000","2,077,000"
Other Interest Expense,C,"3,427,000","1,437,000","482,000","628,000"
Non Interest Income,C,"23,586,000","26,637,000","29,393,000","30,743,000"
Total Premiums Earned,C,"97,000","91,000","94,000","125,000"
Fees And Commissions,C,"9,913,000","9,784,000","11,514,000","10,249,000"
Fees & Commission Income,C,"9,913,000","9,784,000","11,514,000","10,249,000"
Service Charge on Depositor Accounts,C,"5,842,000","5,784,000","6,188,000","6,877,000"
Trust Fees by Commissions,C,"1,376,000","1,350,000","1,464,000","3,472,000"
Securities Activities,C,"2,316,000","2,546,000","3,236,000","2,960,000"
Credit Card,C,"-42,000","-242,000","281,000","-20,000"
Other Customer Services,C,"421,000","346,000","345,000","432,000"
Fees & Commission Expense,C,-,-,-,"8,673,000"
Dividend Income,C,-,-,-,"134,000"
Investment Banking Profit,C,"2,676,000","3,084,000","6,007,000","4,483,000"
Trading Gain Loss,C,"5,509,000","7,560,000","5,493,000","8,962,000"
Foreign Exchange Trading Gains,C,"5,439,000","6,599,000","4,661,000","4,923,000"
Gain Losson Saleof Assets,C,"-115,000","-460,000","459,000","1,581,000"
Gain on Sale of Security,C,"-115,000","-460,000","459,000","1,581,000"
Other Non Interest Income,C,"67,000","-21,000","1,165,000","420,000"
Credit Losses Provision,C,"-9,123,000","-5,112,000","3,891,000","-17,375,000"
Non Interest Expense,C,"55,672,000","51,386,000","48,309,000","44,487,000"
Occupancy And Equipment,C,"2,508,000","2,320,000","2,314,000","2,333,000"
Equipment,C,-,-,-,-
Selling General and Administrative,C,"30,712,000","28,305,000","26,740,000","23,544,000"
General & Administrative Expense,C,"29,319,000","26,749,000","25,250,000","22,327,000"
Salaries and Wages,C,"29,232,000","26,655,000","25,134,000","22,214,000"
Insurance & Claims,C,"87,000","94,000","116,000","113,000"
Other G and A,C,-,-,-,"7,383,000"
Selling & Marketing Expense,C,"1,393,000","1,556,000","1,490,000","1,217,000"
Other Non Interest Expense,C,"22,452,000","20,761,000","19,255,000","18,610,000"
Special Income Charges,C,"-781,000",0,0,-
Restructuring & Mergers Acquisition,C,"781,000",0,0,-
Pretax Income,C,"12,910,000","18,807,000","27,469,000","13,632,000"
Tax Provision,C,"3,528,000","3,642,000","5,451,000","2,525,000"
Net Income Common Stockholders,C,"7,850,000","13,700,000","20,758,000","9,879,000"
Net Income,C,"9,228,000","14,845,000","21,952,000","11,047,000"
Net Income Including Non-Controlling Interests,C,"9,381,000","14,934,000","22,025,000","11,087,000"
Net Income Continuous Operations,C,"9,382,000","15,165,000","22,018,000","11,107,000"
Net Income Discontinuous Operations,C,"-1,000","-231,000","7,000","-20,000"
Minority Interests,C,"-153,000","-89,000","-73,000","-40,000"
Preferred Stock Dividends,C,"1,198,000","1,032,000","1,040,000","1,095,000"
Average Dilution Earnings,C,"57,000","41,000","31,000","30,000"
Diluted NI Available to Com Stockholders,C,"7,907,000","13,741,000","20,789,000","9,909,000"
Basic EPS,C,4.07,7.04,10.80,5.45
Diluted EPS,C,4.04,7.00,10.14,4.87
Basic Average Shares,C,"1,930,100","1,946,700","2,033,000","2,085,800"
Diluted Average Shares,C,"1,955,800","1,964,300","2,049,400","2,099,000"
Interest Income after Provision for Loan Loss,C,"45,777,000","43,556,000","46,385,000","27,376,000"
Net Income from Continuing & Discontinued Operation,C,"9,228,000","14,845,000","21,952,000","11,047,000"
Normalized Income,C,"9,796,787","15,076,000","21,945,000","11,067,000"
Total Money Market Investments,C,"38,125,000","11,669,000","1,629,000","3,211,000"
Reconciled Depreciation,C,"4,560,000","4,262,000","3,964,000","3,937,000"
Net Income from Continuing Operation Net Minority Interest,C,"9,229,000","15,076,000","21,945,000","11,067,000"
Total Unusual Items Excluding Goodwill,C,"-781,000",0,0,-
Total Unusual Items,C,"-781,000",0,0,-
Tax Rate for Calcs,C,0,0,0,0
Tax Effect of Unusual Items,C,"-213,213",0,0,0
Total Revenue,TD,"52,929,000","45,762,000","42,266,000","43,284,000"
Net Interest Income,TD,"29,944,000","27,353,000","24,131,000","24,497,000"
Interest Income,TD,"80,674,000","41,032,000","29,581,000","35,833,000"
Interest Income from Loans And Lease,TD,"44,518,000","27,721,000","23,959,000","28,337,000"
Interest Income from Loans,TD,"44,518,000","27,721,000","23,959,000","28,337,000"
Interest Income from Securities,TD,"21,318,000","9,750,000","5,315,000","7,146,000"
Interest Income from Deposits,TD,"14,838,000","3,561,000","307,000","350,000"
Other Interest Income,TD,-,-,"1,594,000","1,714,000"
Interest Expense,TD,"50,730,000","13,679,000","5,450,000","11,336,000"
Interest Expense for Deposit,TD,"38,351,000","9,748,000","3,742,000","8,447,000"
Interest Expense for Long Term Debt And Capital Securities,TD,"11,434,000","3,676,000","717,000","805,000"
Other Interest Expense,TD,"945,000","255,000","991,000","2,084,000"
Non Interest Income,TD,"22,985,000","18,409,000","18,135,000","18,787,000"
Total Premiums Earned,TD,"5,671,000","5,380,000","4,877,000","4,565,000"
Fees And Commissions,TD,"12,304,000","12,279,000","11,479,000","11,126,000"
Fees & Commission Income,TD,"12,760,000","12,687,000","11,906,000","11,488,000"
Service Charge on Depositor Accounts,TD,"4,405,000","4,486,000","4,108,000","9,334,000"
Trust Fees by Commissions,TD,"2,642,000","2,813,000","2,815,000",-
Securities Activities,TD,"2,781,000","2,498,000","2,548,000",-
Credit Card,TD,"2,932,000","2,890,000","2,435,000","2,154,000"
Fees & Commission Expense,TD,"456,000","408,000","427,000","362,000"
Dividend Income,TD,-,-,"1,594,000","1,714,000"
Investment Banking Profit,TD,"997,000","558,000","816,000",-
Trading Gain Loss,TD,"2,417,000","-257,000","313,000","1,404,000"
Gain Losson Saleof Assets,TD,0,0,0,"109,000"
Gain on Sale of Security,TD,0,0,0,"109,000"
Other Non Interest Income,TD,"1,596,000","449,000","650,000","1,583,000"
Credit Losses Provision,TD,"-2,933,000","-1,067,000","224,000","-7,242,000"
Non Interest Expense,TD,"33,210,000","26,908,000","25,203,000","24,071,000"
Occupancy And Equipment,TD,"4,107,000","3,562,000","3,576,000","3,624,000"
Net Occupancy Expense,TD,"1,799,000","1,660,000","1,882,000","1,990,000"
Equipment,TD,"2,308,000","1,902,000","1,694,000","1,634,000"
Professional Expense And Contract Services Expense,TD,"2,490,000","2,190,000","1,620,000","1,451,000"
Selling General and Administrative,TD,"20,910,000","17,649,000","16,288,000","15,966,000"
General & Administrative Expense,TD,"19,458,000","16,294,000","15,085,000","14,779,000"
Salaries and Wages,TD,"15,753,000","13,394,000","12,378,000","11,893,000"
Insurance & Claims,TD,"3,705,000","2,900,000","2,707,000","2,886,000"
Other G and A,TD,-,-,"1,203,000","1,187,000"
Selling & Marketing Expense,TD,"1,452,000","1,355,000","1,203,000","1,187,000"
Depreciation Amortization Depletion,TD,"672,000","599,000","706,000","817,000"
Depreciation & amortization,TD,"672,000","599,000","706,000","817,000"
Amortization,TD,"672,000","599,000","706,000","817,000"
Amortization of Intangibles,TD,"672,000","599,000","706,000","817,000"
Other Non Interest Expense,TD,"5,031,000","2,908,000","3,013,000","2,213,000"
Special Income Charges,TD,"-3,700,000","2,637,000","-153,000","-57,000"
Gain on Sale of Business,TD,0,"997,000",0,-
Restructuring & Mergers Acquisition,TD,"2,058,000","-1,416,000","103,000","-16,000"
Impairment of Capital Assets,TD,-,"3,000","50,000","73,000"
Other Special Charges,TD,"1,642,000","-224,000",-,-
Pretax Income,TD,"13,086,000","20,424,000","17,134,000","11,914,000"
Tax Provision,TD,"3,168,000","3,986,000","3,621,000","1,152,000"
Earnings from Equity Interest Net of Tax,TD,"864,000","991,000","785,000","1,133,000"
Net Income Common Stockholders,TD,"10,219,000","17,170,000","14,049,000","11,628,000"
Net Income,TD,"10,782,000","17,429,000","14,298,000","11,895,000"
Net Income Including Non-Controlling Interests,TD,"10,782,000","17,429,000","14,298,000","11,895,000"
Net Income Continuous Operations,TD,"10,782,000","17,429,000","14,298,000","11,895,000"
Minority Interests,TD,-,0,0,0
Preferred Stock Dividends,TD,"563,000","259,000","249,000","267,000"
Diluted NI Available to Com Stockholders,TD,"10,219,000","17,170,000","14,049,000","11,628,000"
Basic EPS,TD,5.61,9.48,7.73,6.43
Diluted EPS,TD,5.60,9.47,7.72,6.43
Basic Average Shares,TD,"1,822,500","1,810,500","1,817,700","1,807,300"
Diluted Average Shares,TD,"1,824,400","1,813,600","1,820,200","1,808,800"
Interest Income after Provision for Loan Loss,TD,"27,011,000","26,286,000","24,355,000","17,255,000"
Net Income from Continuing & Discontinued Operation,TD,"10,782,000","17,429,000","14,298,000","11,895,000"
Normalized Income,TD,"13,586,600","15,306,215","14,418,717","11,946,471"
Total Money Market Investments,TD,"14,838,000","3,561,000","307,000","350,000"
Reconciled Depreciation,TD,"1,911,000","1,766,000","2,066,000","2,141,000"
Net Income from Continuing Operation Net Minority Interest,TD,"10,782,000","17,429,000","14,298,000","11,895,000"
Total Unusual Items Excluding Goodwill,TD,"-3,700,000","2,637,000","-153,000","-57,000"
Total Unusual Items,TD,"-3,700,000","2,637,000","-153,000","-57,000"
Tax Rate for Calcs,TD,0,0,0,0
Tax Effect of Unusual Items,TD,"-895,400","514,215","-32,283","-5,529"
Total Revenue,UBS,"39,368,000","33,363,000","35,059,000","32,074,000"
Net Interest Income,UBS,"7,296,000","6,622,000","6,704,000","5,861,000"
Interest Income,UBS,"35,513,000","13,185,000","9,964,000","10,109,000"
Interest Income from Loans And Lease,UBS,"28,569,000","9,612,000","6,488,000","6,690,000"
Interest Income from Loans,UBS,"28,569,000","9,612,000","6,488,000","6,690,000"
Interest Income from Securities,UBS,"2,996,000","2,195,000","2,963,000","2,557,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,UBS,"3,948,000","1,378,000","513,000","862,000"
Other Interest Income,UBS,-,-,-,"682,000"
Interest Expense,UBS,"28,217,000","6,563,000","3,260,000","4,248,000"
Interest Expense for Long Term Debt And Capital Securities,UBS,"26,249,000","5,474,000","2,158,000","3,378,000"
Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,UBS,"1,968,000","1,089,000","1,102,000","870,000"
Other Interest Expense,UBS,"28,216,000","6,564,000","3,259,000","886,000"
Non Interest Income,UBS,"32,072,000","26,741,000","28,355,000","26,213,000"
Fees And Commissions,UBS,"20,163,000","17,582,000","19,823,000","17,365,000"
Fees & Commission Income,UBS,"22,358,000","19,405,000","21,808,000","19,140,000"
Service Charge on Depositor Accounts,UBS,"4,837,000","4,942,000","5,790,000","5,289,000"
Trust Fees by Commissions,UBS,"10,673,000","9,059,000","9,762,000","8,009,000"
Securities Activities,UBS,"3,542,000","3,484,000","4,382,000","4,132,000"
Other Customer Services,UBS,"3,306,000","1,920,000","1,874,000","1,710,000"
Fees & Commission Expense,UBS,"2,195,000","1,823,000","1,985,000","1,775,000"
Investment Banking Profit,UBS,"1,408,000","1,383,000","2,565,000","1,821,000"
Gain Losson Saleof Assets,UBS,"11,586,000","7,516,000","5,859,000","7,000,000"
Gain on Sale of Security,UBS,"11,586,000","7,516,000","5,859,000","7,000,000"
Other Non Interest Income,UBS,"-1,085,000","260,000","108,000","27,000"
Credit Losses Provision,UBS,"-1,037,000","-29,000","148,000","-694,000"
Non Interest Expense,UBS,"31,963,000","24,580,000","25,146,000","24,038,000"
Occupancy And Equipment,UBS,"1,342,000","605,000","634,000","671,000"
Net Occupancy Expense,UBS,-,-,-,"412,000"
Professional Expense And Contract Services Expense,UBS,"1,619,000","592,000","540,000","646,000"
Selling General and Administrative,UBS,"27,597,000","21,324,000","21,854,000","20,595,000"
General & Administrative Expense,UBS,"27,189,000","21,059,000","21,612,000","20,378,000"
Salaries and Wages,UBS,"22,707,000","17,680,000","18,387,000","17,224,000"
Rental & Landing Fees,UBS,-,-,-,"813,000"
Other G and A,UBS,"4,482,000","3,379,000","3,225,000","3,154,000"
Selling & Marketing Expense,UBS,"408,000","265,000","242,000","217,000"
Depreciation Amortization Depletion,UBS,"2,307,000","2,059,000","2,118,000","2,126,000"
Depreciation & amortization,UBS,"2,307,000","2,059,000","2,118,000","2,126,000"
Depreciation,UBS,-,-,"2,108,000","1,997,000"
Amortization,UBS,-,-,-,"57,000"
Amortization of Intangibles,UBS,-,-,-,"57,000"
Other Non Interest Expense,UBS,"-902,000",-,"-216,000","-174,000"
Income from Associates & Other Participating Interests,UBS,"-348,000","32,000","105,000","84,000"
Special Income Charges,UBS,"22,718,000","817,000","-681,000","729,000"
Gain on Sale of Business,UBS,"28,000","1,125,000","130,000","635,000"
Restructuring & Mergers Acquisition,UBS,"-24,648,000",-,-,"88,000"
Impairment of Capital Assets,UBS,"593,000","2,000","10,000","139,000"
Write Off,UBS,"508,000",-,0,0
Other Special Charges,UBS,"857,000","306,000","811,000","-94,000"
Pretax Income,UBS,"28,739,000","9,604,000","9,484,000","8,155,000"
Tax Provision,UBS,"873,000","1,942,000","1,998,000","1,583,000"
Net Income Common Stockholders,UBS,"27,849,000","7,630,000","7,457,000","6,557,000"
Net Income,UBS,"27,850,000","7,629,000","7,457,000","6,557,000"
Net Income Including Non-Controlling Interests,UBS,"27,866,000","7,661,000","7,486,000","6,572,000"
Net Income Continuous Operations,UBS,"27,866,000","7,662,000","7,486,000","6,572,000"
