breakdown,bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
"Gain on Saleof Loans",WFC,393000.0,850000.0,4762000.0,5432000.0
"Other Non Interest Income",WFC,1935000.0,2821000.0,4408000.0,3847000.0
"Credit Losses Provision",WFC,-5399000.0,-1534000.0,4155000.0,-14129000.0
"Non Interest Expense",WFC,55562000.0,57205000.0,53758000.0,56131000.0
"Occupancy And Equipment",WFC,2884000.0,2881000.0,2968000.0,3263000.0
"Net Occupancy Expense",WFC,2884000.0,2881000.0,2968000.0,3263000.0
Equipment,WFC,78340455.8522935,59370784.164795734,51505248.92342425,3099000.0
"Professional Expense And Contract Services Expense",WFC,5085000.0,5188000.0,5723000.0,6706000.0
"Selling General and Administrative",WFC,36641000.0,34845000.0,36141000.0,35411000.0
"General & Administrative Expense",WFC,35829000.0,34340000.0,35541000.0,34811000.0
"Salaries and Wages",WFC,35829000.0,34340000.0,35541000.0,34811000.0
"Rental & Landing Fees",WFC,78340455.8522935,59370784.164795734,51505248.92342425,52745342.82654964
"Selling & Marketing Expense",WFC,812000.0,505000.0,600000.0,600000.0
"Other Non Interest Expense",WFC,10952000.0,14291000.0,8926000.0,10751000.0
"Special Income Charges",WFC,78340455.8522935,-5000.0,-76000.0,-1499000.0
"Restructuring & Mergers Acquisition",WFC,78340455.8522935,5000.0,76000.0,1499000.0
"Other Special Charges",WFC,78340455.8522935,59370784.164795734,51505248.92342425,-71000.0
"Pretax Income",WFC,21636000.0,15629000.0,29563000.0,2505000.0
"Tax Provision",WFC,2607000.0,2251000.0,5764000.0,-1157000.0
"Net Income Common Stockholders",WFC,17982000.0,12562000.0,20818000.0,1786000.0
"Net Income",WFC,19142000.0,13677000.0,22109000.0,3377000.0
"Net Income Including Non-Controlling Interests",WFC,19029000.0,13378000.0,23799000.0,3662000.0
"Net Income Continuous Operations",WFC,19029000.0,13378000.0,23799000.0,3662000.0
"Minority Interests",WFC,113000.0,299000.0,-1690000.0,-285000.0
"Preferred Stock Dividends",WFC,1160000.0,1115000.0,1291000.0,1591000.0
"Diluted NI Available to Com Stockholders",WFC,17982000.0,12562000.0,20818000.0,1786000.0
"Basic EPS",WFC,78340455.8522935,3.3,5.13,0.43
"Diluted EPS",WFC,78340455.8522935,3.27,5.08,0.43
"Basic Average Shares",WFC,78340455.8522935,3805200.0,4061900.0,4118000.0
"Diluted Average Shares",WFC,78340455.8522935,3837000.0,4096200.0,4134200.0
"Rent Expense Supplemental",WFC,78340455.8522935,59370784.164795734,51505248.92342425,52745342.82654964
"Interest Income after Provision for Loan Loss",WFC,46976000.0,43416000.0,39934000.0,25827000.0
"Net Income from Continuing & Discontinued Operation",WFC,19142000.0,13677000.0,22109000.0,3377000.0
"Normalized Income",WFC,19142000.0,13677000.0,22109000.0,4471270.0
"Reconciled Depreciation",WFC,6271000.0,6832000.0,7890000.0,8219000.0
"Net Income from Continuing Operation Net Minority Interest",WFC,19142000.0,13677000.0,22109000.0,3377000.0
"Total Unusual Items Excluding Goodwill",WFC,78340455.8522935,-5000.0,-76000.0,-1499000.0
"Total Unusual Items",WFC,78340455.8522935,-5000.0,-76000.0,-1499000.0
"Tax Rate for Calcs",WFC,0.0,0.0,0.0,0.0
"Tax Effect of Unusual Items",WFC,0.0,0.0,0.0,-404730.0
